n,m,K,a,s_list,sizes,order,lambda_star,lambda_star_sq,A_float,B_float,A_fraction,B_fraction
6,15,2,1 1 4 6 7 10,0 2,4 5,15,-0.2 0.0666666666667 0.466666666667 0.2 0.2 0.466666666667,0.04 0.00444444444444 0.217777777778 0.04 0.04 0.217777777778,1 0.56 1.62222222222 4 6.87555555556 11.44 6.50222222222,1 0.56 6.80444444444 19.36 35.8711111111 44.08 20.3244444444,1 14/25 73/45 4 1547/225 286/25 1463/225,1 14/25 1531/225 484/25 18300813348587/510182505691 40088584727950/909450651723 4051574027520/199344884363
6,15,2,1 1 4 6 7 10,0 12,4 5,5,-0.2 -0.6 -0.2 0.2 0.2 -0.2,0.04 0.36 0.04 0.04 0.04 0.04,1 0.56 2.04 4 6.04 11.44 6.92,1 0.56 7.64 19.36 34.2 44.08 21.16,1 14/25 51/25 4 151/25 286/25 173/25,1 14/25 191/25 484/25 32521770957859/950928975376 5609139680597/127249085313 21159999999873/999999999994
6,15,2,1 1 4 6 7 13,0 12,4 5,5,-0.2 -0.2 0.2 -0.6 -0.6 -0.2,0.04 0.04 0.04 0.36 0.36 0.04,1 0.88 1.72 4 7.32 11.12 5.96,1 0.88 7.32 21.28 37.4 41.84 18.28,1 22/25 43/25 4 183/25 278/25 149/25,1 22/25 183/25 21279999999851/999999999993 34858159367440/932036346723 14053595495864/335888993687 18279999999872/999999999993
6,15,2,1 1 4 6 9 13,0 8,5 4,15,-0.333333333333 -0.333333333333 0.866666666667 0.0666666666667 -0.0666666666667 -0.2,0.111111111111 0.111111111111 0.751111111111 0.00444444444444 0.00444444444444 0.04,1 1.02222222222 1.89777777778 3.98222222222 7.26666666667 10.9955555556 5.83555555556,1 1.02222222222 7.8 22.1688888889 37.5422222222 40.8088888889 17.6577777778,1 46/45 427/225 896/225 109/15 2474/225 5835555555398/999999999973,1 46/45 39/5 21561808860373/972615676340 23275762391447/619988935489 6071184487233/148771129343 10734822005562/607937314687
6,15,2,1 1 4 6 10 13,0 8,6 3,15,0.2 0.2 0.866666666667 0.0666666666667 -0.0666666666667 -0.2,0.04 0.04 0.751111111111 0.00444444444444 0.00444444444444 0.04,1 0.88 1.91555555556 4 6.92888888889 11.12 6.15555555556,1 0.88 7.71111111111 21.28 36.6177777778 41.84 18.6711111111,1 22/25 431/225 4 1559/225 278/25 277/45,1 22/25 347/45 532/25 27155413736719/741590980794 41839999999205/999999999981 17747405875829/950527570117
6,15,2,1 1 4 6 10 13,0 12,6 3,5,-0.2 -0.2 -0.2 0.6 -0.6 0.2,0.04 0.04 0.04 0.36 0.36 0.04,1 0.88 1.72 4 7.32 11.12 5.96,1 0.88 7.32 21.28 37.4 41.84 18.28,1 22/25 43/25 4 183/25 278/25 149/25,1 22/25 183/25 21279999999851/999999999993 37399999999925/999999999998 39894691821571/953506018680 18279999999872/999999999993
6,15,2,1 1 4 7 10 11,0 6,5 3,5,0.2 0.2 -0.2 0.6 -0.2 0.2,0.04 0.04 0.04 0.36 0.04 0.04,1 0.56 1.4 4 7.32 11.44 6.28,1 0.56 6.36 19.36 36.76 44.08 19.88,1 14/25 7/5 4 183/25 11439999999897/999999999991 157/25,1 14/25 159/25 12702460487603/656118826839 29394943590662/799644820203 28364441154121/643476432716 11609382856972/583972980733
6,15,2,1 1 4 8 9 9,0 13,4 5,15,0.333333333333 0.333333333333 -0.466666666667 0.2 -0.466666666667 0.2,0.111111111111 0.111111111111 0.217777777778 0.04 0.217777777778 0.04,1 0.737777777778 2.04888888889 3.71555555556 6.66222222222 11.5466666667 6.28888888889,1 0.737777777778 7.55111111111 20.9955555556 35.2311111111 42.2666666667 20.2177777778,1 166/225 461/225 836/225 6662222221063/999999999826 866/75 283/45,1 166/225 1699/225 5055366562519/240782700374 34673692937887/984178240321 33418564650495/790660046936 4549/225
6,15,2,1 1 4 8 9 11,0 13,4 5,15,0.0666666666667 0.0666666666667 -0.2 0.733333333333 0.0666666666667 0.2,0.00444444444444 0.00444444444444 0.04 0.537777777778 0.00444444444444 0.04,1 0.631111111111 2.17333333333 3.75111111111 6.16444444444 11.6177777778 6.66222222222,1 0.631111111111 7.72888888889 20.2844444444 34.0933333333 43.0844444444 21.1777777778,1 142/225 163/75 844/225 4443372232271/720806598602 5418581158715/466404269591 4414947250332/662683876801,1 142/225 7728888887660/999999999841 7282606541223/359024205034 2557/75 6318126747199/146645194772 21177777776973/999999999962
6,15,2,1 1 4 9 9 10,0 2,6 2,15,-0.2 -0.2 0.2 0.2 0.2 0.2,0.04 0.04 0.04 0.04 0.04 0.04,1 0.24 3.66666666667 2.08 7.90666666667 6 11.1066666667,1 0.24 10.5733333333 13.6 37.2933333333 34.8 30.4933333333,1 6/25 11/3 52/25 593/75 6 8671979864671/780790504022,1 6/25 793/75 68/5 33176801933662/889617499115 174/5 27927690748049/915862180194
6,15,2,1 1 4 9 9 11,0 7,6 3,15,-0.2 -0.2 0.2 -0.0666666666667 -0.733333333333 -0.2,0.04 0.04 0.04 0.00444444444444 0.537777777778 0.04,1 0.702222222222 2.22666666667 4 5.95111111111 11.2977777778 6.82222222222,1 0.702222222222 8.15555555556 20.2133333333 34.3066666667 43.0844444444 20.5377777778,1 158/225 167/75 4 3547038350658/596029595891 2542/225 307/45,1 158/225 367/45 19986700922377/988787974392 11202399305504/326537095963 41926337066206/973120057757 14830350235554/722101017745
6,15,2,1 1 4 9 9 11,0 13,6 3,15,0.2 0.2 -0.2 0.733333333333 0.0666666666667 0.2,0.04 0.04 0.04 0.537777777778 0.00444444444444 0.04,1 0.702222222222 2.22666666667 4 5.95111111111 11.2977777778 6.82222222222,1 0.702222222222 8.15555555556 20.2133333333 34.3066666667 43.0844444444 20.5377777778,1 158/225 167/75 4 5951111110272/999999999859 2618395831239/231762022828 307/45,1 158/225 367/45 1516/75 28569432546575/832766203262 9430165627089/218876342696 11846046150471/576792985037
6,15,2,1 1 5 6 6 11,0 2,2 6,15,0.2 0.2 0.2 0.2 0.2 0.2,0.04 0.04 0.04 0.04 0.04 0.04,1 0.24 3.66666666667 2.08 7.90666666667 6 11.1066666667,1 0.24 10.5733333333 13.6 37.2933333333 34.8 30.4933333333,1 6/25 11/3 52/25 7225742908371/913879794482 6 11106666666078/999999999947,1 6/25 793/75 68/5 15714281634010/421369725617 174/5 30493333332632/999999999977
6,15,2,1 1 5 6 6 13,0 4,3 5,15,0.333333333333 0.333333333333 0.0666666666667 0.0666666666667 0.0666666666667 -0.6,0.111111111111 0.111111111111 0.00444444444444 0.00444444444444 0.00444444444444 0.36,1 0.595555555556 1.77333333333 3.84 6.80444444444 11.5644444444 6.42222222222,1 0.595555555556 6.98222222222 19.8933333333 35.48 43.5111111111 20.5377777778,1 134/225 133/75 96/25 5497098803396/807868863987 11564444444005/999999999962 289/45,1 134/225 1571/225 10218021052803/513640468472 887/25 23151775022176/532088802859 11569454012716/563325503757
6,15,2,1 1 5 6 7 11,0 13,4 5,15,-0.0666666666667 0.2 0.466666666667 -0.2 -0.2 0.466666666667,0.00444444444444 0.04 0.217777777778 0.04 0.04 0.217777777778,1 0.56 1.62222222222 4 6.87555555556 11.44 6.50222222222,1 0.56 6.80444444444 19.36 35.8711111111 44.08 20.3244444444,1 14/25 73/45 4 1547/225 286/25 1463/225,1 14/25 1531/225 484/25 10048586947033/280130351020 22807751789284/517417236599 4819564049944/237131404163
6,15,2,1 1 5 6 7 12,0 13,3 6,15,0.333333333333 0.333333333333 0.466666666667 -0.2 -0.2 0.466666666667,0.111111111111 0.111111111111 0.217777777778 0.04 0.04 0.217777777778,1 0.737777777778 1.44444444444 4 7.58666666667 11.2622222222 5.96888888889,1 0.737777777778 6.62666666667 20.4266666667 37.6488888889 42.8355555556 18.7244444444,1 166/225 13/9 4 569/75 2534/225 1343/225,1 166/225 497/75 1532/75 8471/225 34847216770019/813511493386 18284345409921/976496016433
6,15,2,1 1 5 6 11 12,0 8,4 5,15,0.333333333333 0.2 0.733333333333 0.0666666666667 -0.2 -0.2,0.111111111111 0.04 0.537777777778 0.00444444444444 0.04 0.04,1 0.773333333333 2.02222222222 4 6.50222222222 11.2266666667 6.47555555556,1 0.773333333333 7.81777777778 20.64 35.5511111111 42.5866666667 19.6311111111,1 58/75 91/45 4 6502222221559/999999999898 842/75 5687072852787/878237056882,1 58/75 1759/225 20639999999711/999999999986 3784700519034/106458009349 39496148297206/927429906791 13883584279335/707223559622
6,15,2,1 1 5 6 11 12,0 13,4 5,15,0.0666666666667 -0.2 0.0666666666667 0.733333333333 -0.2 -0.2,0.00444444444444 0.04 0.00444444444444 0.537777777778 0.04 0.04,1 0.666666666667 1.51555555556 4 7.30222222222 11.3333333333 6.18222222222,1 0.666666666667 6.69777777778 20 36.9377777778 43.3333333333 19.3644444444,1 2/3 341/225 4 7302222221806/999999999943 34/3 1391/225,1 2/3 6697777776820/999999999857 20 29445844885697/797174238874 130/3 12041104306181/621815117946
6,15,2,1 1 5 7 11 12,0 13,3 6,15,0.0666666666667 0.0666666666667 0.0666666666667 0.733333333333 -0.2 -0.2,0.00444444444444 0.00444444444444 0.00444444444444 0.537777777778 0.04 0.04,1 0.631111111111 1.55111111111 4 7.16 11.3688888889 6.28888888889,1 0.631111111111 6.73333333333 19.7866666667 36.5822222222 43.5822222222 19.6844444444,1 142/225 349/225 4 179/25 3811861506855/335288834653 283/45,1 142/225 101/15 13229101043539/668586643036 33308161293651/910501311028 12441485787395/285471578846 10805808954905/548951685449
6,15,2,1 1 5 8 8 12,0 2,4 4,15,-0.0666666666667 -0.0666666666667 0.466666666667 0.2 0.2 0.466666666667,0.00444444444444 0.00444444444444 0.217777777778 0.04 0.04 0.217777777778,1 0.524444444444 1.78222222222 3.71555555556 6.76888888889 11.76 6.44888888889,1 0.524444444444 6.80444444444 19.7155555556 35.0177777778 43.76 21.1777777778,1 118/225 401/225 3715555554753/999999999784 1523/225 294/25 6448888887928/999999999851,1 118/225 1531/225 9886167828359/501439982277 35017777772315/999999999844 14804501178832/338311270083 14865372835083/701932610261
6,15,2,1 1 5 8 8 13,0 3,6 2,5,-0.2 -0.2 0.2 -0.2 -0.2 0.2,0.04 0.04 0.04 0.04 0.04 0.04,1 0.24 3.96 2.08 7.32 6 11.4,1 0.24 11.16 13.6 36.12 34.8 31.08,1 6/25 99/25 52/25 183/25 6 57/5,1 6/25 279/25 68/5 29961324632730/829494037451 29327332902769/842739451229 11480632908260/369389733213
6,15,2,1 1 5 8 9 11,0 2,5 4,15,0.2 -0.0666666666667 0.466666666667 0.2 0.2 0.466666666667,0.04 0.00444444444444 0.217777777778 0.04 0.04 0.217777777778,1 0.56 1.62222222222 4 6.87555555556 11.44 6.50222222222,1 0.56 6.80444444444 19.36 35.8711111111 44.08 20.3244444444,1 14/25 73/45 4 1547/225 286/25 1463/225,1 14/25 1531/225 484/25 32758248552101/913220904996 22807751789284/517417236599 5946800963337/292593530888
6,15,2,1 1 5 8 9 12,0 2,6 3,15,0.333333333333 0.333333333333 0.466666666667 0.2 0.2 0.466666666667,0.111111111111 0.111111111111 0.217777777778 0.04 0.04 0.217777777778,1 0.737777777778 1.44444444444 4 7.58666666667 11.2622222222 5.96888888889,1 0.737777777778 6.62666666667 20.4266666667 37.6488888889 42.8355555556 18.7244444444,1 166/225 13/9 4 569/75 6913923091321/613903984036 5968888888101/999999999868,1 166/225 497/75 20426666666299/999999999982 8471/225 38768929267044/905064233771 3824718842188/204263408377
6,15,2,1 1 5 8 9 13,0 11,6 2,15,-0.0666666666667 -0.0666666666667 0.0666666666667 0.0666666666667 -0.0666666666667 0.0666666666667,0.00444444444444 0.00444444444444 0.00444444444444 0.00444444444444 0.00444444444444 0.00444444444444,1 0.0266666666667 3.55111111111 2.00888888889 7.92444444444 6 11.4888888889,1 0.0266666666667 10.1288888889 12.1777777778 36.9022222222 35.8666666667 31.8977777778,1 2/75 799/225 452/225 4556757538574/575025488603 6 517/45,1 2/75 9487616518729/936688774337 12177777777449/999999999973 13443121838366/364290306351 35866666666595/999999999998 7177/225
6,15,2,1 1 5 8 11 11,0 9,3 5,5,0.2 0.2 0.2 -0.6 0.2 0.2,0.04 0.04 0.04 0.36 0.04 0.04,1 0.56 1.4 4 7.32 11.44 6.28,1 0.56 6.36 19.36 36.76 44.08 19.88,1 14/25 7/5 4 183/25 11439999999897/999999999991 157/25,1 14/25 159/25 10812213390931/558482096639 29415835519241/800213153407 3862832183497/87632309063 13748704022037/691584709358
6,15,2,1 1 5 8 11 12,0 2,3 6,15,-0.0666666666667 -0.0666666666667 -0.0666666666667 0.733333333333 0.2 0.2,0.00444444444444 0.00444444444444 0.00444444444444 0.537777777778 0.04 0.04,1 0.631111111111 1.55111111111 4 7.16 11.3688888889 6.28888888889,1 0.631111111111 6.73333333333 19.7866666667 36.5822222222 43.5822222222 19.6844444444,1 142/225 349/225 4 179/25 10415159430120/916110583181 283/45,1 142/225 101/15 19786666665895/999999999961 33308161293651/910501311028 12441485787395/285471578846 17303805564206/879059889805
6,15,2,1 1 5 8 12 12,0 2,4 4,15,0.333333333333 0.333333333333 -0.0666666666667 0.733333333333 0.2 0.2,0.111111111111 0.111111111111 0.00444444444444 0.537777777778 0.04 0.04,1 0.844444444444 1.56888888889 3.92888888889 7.62222222222 11.2266666667 5.80888888889,1 0.844444444444 6.91111111111 21.2088888889 37.7911111111 41.9466666667 18.2977777778,1 38/45 353/225 884/225 343/45 11226666666633/999999999997 1307/225,1 38/45 311/45 4772/225 18454635877206/488332714615 20276879087749/483396672467 10888724257869/595084517372
6,15,2,1 1 5 8 12 12,0 6,4 6,5,-0.2 0.2 -0.2 0.2 0.6 0.6,0.04 0.04 0.04 0.04 0.36 0.36,1 0.88 1.8 4 7.16 11.12 6.04,1 0.88 7.48 21.28 37.08 41.84 18.44,1 22/25 9/5 4 179/25 278/25 151/25,1 22/25 187/25 21279999999851/999999999993 22989189727932/619988935489 14053595495864/335888993687 461/25
6,15,2,1 1 5 9 11 12,0 2,4 5,15,0.2 -0.0666666666667 -0.0666666666667 0.733333333333 0.2 0.2,0.04 0.00444444444444 0.00444444444444 0.537777777778 0.04 0.04,1 0.666666666667 1.51555555556 4 7.30222222222 11.3333333333 6.18222222222,1 0.666666666667 6.69777777778 20 36.9377777778 43.3333333333 19.3644444444,1 2/3 341/225 4 7302222221806/999999999943 34/3 6182222221672/999999999911,1 2/3 6697777776820/999999999857 20 29445844885697/797174238874 130/3 12005741297447/619988935489
6,15,2,1 1 5 9 11 12,0 7,4 5,15,-0.2 -0.333333333333 -0.733333333333 0.0666666666667 0.2 0.2,0.04 0.111111111111 0.537777777778 0.00444444444444 0.04 0.04,1 0.773333333333 2.02222222222 4 6.50222222222 11.2266666667 6.47555555556,1 0.773333333333 7.81777777778 20.64 35.5511111111 42.5866666667 19.6311111111,1 58/75 91/45 4 4402195667472/677029408873 842/75 3725512211281/575319318832,1 58/75 7817777777082/999999999911 516/25 22804804403791/641465307020 26229936560376/615918986233 13032232412691/663856077169
6,15,2,1 1 5 9 11 13,0 7,6 3,15,-0.2 -0.2 -0.0666666666667 0.0666666666667 0.866666666667 0.2,0.04 0.04 0.00444444444444 0.00444444444444 0.751111111111 0.04,1 0.88 1.91555555556 4 6.92888888889 11.12 6.15555555556,1 0.88 7.71111111111 21.28 36.6177777778 41.84 18.6711111111,1 22/25 431/225 4 3307009475986/477278468311 278/25 277/45,1 22/25 347/45 532/25 4234588392432/115642964959 34842937945528/832766203287 16898554871431/905064233771
6,15,2,1 1 5 9 12 13,0 7,5 4,15,-0.0666666666667 -0.2 -0.0666666666667 0.0666666666667 0.866666666667 0.2,0.00444444444444 0.04 0.00444444444444 0.00444444444444 0.751111111111 0.04,1 0.844444444444 1.95111111111 4 6.78666666667 11.1555555556 6.26222222222,1 0.844444444444 7.74666666667 21.0666666667 36.2622222222 42.0888888889 18.9911111111,1 38/45 439/225 4 509/75 502/45 5094389751915/813511493386,1 38/45 581/75 316/15 14039763624949/387173282953 34998431372342/831536120251 16943019201505/892155235277
6,15,2,1 1 5 11 12 13,0 7,6 3,15,-0.6 -0.466666666667 -0.0666666666667 0.0666666666667 0.0666666666667 0.0666666666667,0.36 0.217777777778 0.00444444444444 0.00444444444444 0.00444444444444 0.00444444444444,1 0.595555555556 2.2 4 5.79111111111 11.4044444444 7.00888888889,1 0.595555555556 7.99555555556 19.5733333333 33.7733333333 43.8311111111 21.2311111111,1 134/225 11/5 4 1303/225 2501025114663/219302669836 1577/225,1 134/225 1799/225 6239415112369/318771208057 12686407758115/375633865716 38314785653739/874145890498 10349890033569/487486970390
6,15,2,1 1 5 12 12 13,0 7,6 2,15,-0.0666666666667 -0.0666666666667 -0.0666666666667 0.0666666666667 0.0666666666667 0.0666666666667,0.00444444444444 0.00444444444444 0.00444444444444 0.00444444444444 0.00444444444444 0.00444444444444,1 0.0266666666667 3.71111111111 2.00888888889 7.60444444444 6 11.6488888889,1 0.0266666666667 10.4488888889 12.1777777778 36.2622222222 35.8666666667 32.2177777778,1 2/75 167/45 452/225 7604444444376/999999999991 6 7104811979544/609913275619,1 2/75 7464722733503/714403494274 12177777777449/999999999973 35471444502991/978192794849 538/15 6280123441077/194927269174
6,15,2,1 1 6 6 7 11,0 13,4 5,15,0.333333333333 0.333333333333 -0.2 0.466666666667 -0.2 0.466666666667,0.111111111111 0.111111111111 0.04 0.217777777778 0.04 0.217777777778,1 0.737777777778 2.04888888889 3.71555555556 6.66222222222 11.5466666667 6.28888888889,1 0.737777777778 7.55111111111 20.9955555556 35.2311111111 42.2666666667 20.2177777778,1 166/225 461/225 836/225 1499/225 7287214643787/631109813261 283/45,1 166/225 1699/225 10096338572779/480879800778 14795488518251/419955205829 28191964492148/667002314483 9061781098083/448208561677
6,15,2,1 1 6 6 11 11,0 8,3 6,15,-0.2 -0.2 0.733333333333 0.0666666666667 -0.2 -0.2,0.04 0.04 0.537777777778 0.00444444444444 0.04 0.04,1 0.702222222222 2.22666666667 4 5.95111111111 11.2977777778 6.82222222222,1 0.702222222222 8.15555555556 20.2133333333 34.3066666667 43.0844444444 20.5377777778,1 158/225 167/75 4 5519238423527/927429906866 1789556407949/158398973953 307/45,1 158/225 367/45 20213333333111/999999999989 27402009651291/798737164340 7427237258907/172387908320 16532518172735/804980867532
6,15,2,1 1 6 6 11 11,0 13,3 6,15,-0.2 -0.2 0.733333333333 0.0666666666667 -0.2 -0.2,0.04 0.04 0.537777777778 0.00444444444444 0.04 0.04,1 0.702222222222 2.22666666667 4 5.95111111111 11.2977777778 6.82222222222,1 0.702222222222 8.15555555556 20.2133333333 34.3066666667 43.0844444444 20.5377777778,1 158/225 167/75 4 5951111110272/999999999859 4097991928736/362725485431 307/45,1 158/225 367/45 18090771157778/894991976803 19429513482995/566348041673 7427237258907/172387908320 14440142851391/703101523818
6,15,2,1 1 6 7 9 13,0 11,7 2,15,-0.0666666666667 -0.0666666666667 0.0666666666667 0.0666666666667 -0.0666666666667 0.0666666666667,0.00444444444444 0.00444444444444 0.00444444444444 0.00444444444444 0.00444444444444 0.00444444444444,1 0.0266666666667 3.08888888889 2.00888888889 8.84888888889 6 11.0266666667,1 0.0266666666667 9.20444444444 12.1777777778 38.7511111111 35.8666666667 30.9733333333,1 2/75 139/45 452/225 4708394695123/532088802814 6 827/75,1 2/75 7699318828028/836478385469 8634105079037/709004979118 3715077689722/95870223671 538/15 30973333331382/999999999937
6,15,2,1 1 6 7 10 13,0 4,6 2,15,0.0666666666667 0.0666666666667 -0.0666666666667 0.0666666666667 0.0666666666667 -0.0666666666667,0.00444444444444 0.00444444444444 0.00444444444444 0.00444444444444 0.00444444444444 0.00444444444444,1 0.0266666666667 3.55111111111 2.00888888889 7.92444444444 6 11.4888888889,1 0.0266666666667 10.1288888889 12.1777777778 36.9022222222 35.8666666667 31.8977777778,1 2/75 799/225 452/225 7924444444072/999999999953 6 517/45,1 2/75 5836292248930/576202613431 548/45 16204449518425/439118528441 538/15 31894942301345/999911107399
6,15,2,1 1 6 7 11 11,0 13,5 4,15,-0.0666666666667 -0.0666666666667 0.0666666666667 0.0666666666667 0.466666666667 0.466666666667,0.00444444444444 0.00444444444444 0.00444444444444 0.00444444444444 0.217777777778 0.217777777778,1 0.453333333333 2.35111111111 3.75111111111 5.45333333333 11.7955555556 7.19555555556,1 0.453333333333 7.90666666667 19.2177777778 32.3155555556 44.3288888889 22.7777777778,1 34/75 529/225 844/225 409/75 7394551726643/626893043894 1619/225,1 34/75 593/75 18620735119134/968932794127 4313635906256/133484813493 31164465732178/703028352691 205/9
6,15,2,1 1 6 7 11 12,0 13,5 4,15,0.0666666666667 0.333333333333 0.0666666666667 0.0666666666667 0.466666666667 0.466666666667,0.00444444444444 0.111111111111 0.00444444444444 0.00444444444444 0.217777777778 0.217777777778,1 0.56 1.62222222222 4 6.87555555556 11.44 6.50222222222,1 0.56 6.80444444444 19.36 35.8711111111 44.08 20.3244444444,1 14/25 73/45 4 5687867274343/827259299759 286/25 6502222221559/999999999898,1 14/25 6804444443451/999999999854 19359999999729/999999999986 35452317993447/988325058670 1102/25 6826757192708/335888993737
6,15,2,1 1 6 8 9 11,0 2,5 4,15,0.333333333333 0.333333333333 0.466666666667 0.2 0.2 0.466666666667,0.111111111111 0.111111111111 0.217777777778 0.04 0.04 0.217777777778,1 0.737777777778 2.04888888889 3.71555555556 6.66222222222 11.5466666667 6.28888888889,1 0.737777777778 7.55111111111 20.9955555556 35.2311111111 42.2666666667 20.2177777778,1 166/225 461/225 836/225 6662222222049/999999999974 7956175596699/689045230661 283/45,1 166/225 7551111109986/999999999851 20711647820831/986477722203 7927/225 34285328575120/811167079853 14121088163729/698449073827
6,15,2,1 1 6 8 9 11,0 3,5 4,5,-0.2 0.2 0.2 -0.2 -0.2 0.2,0.04 0.04 0.04 0.04 0.04 0.04,1 0.24 3.08 2.72 7.16 7.92 9.88,1 0.24 9.4 14.88 35.8 38.64 28.04,1 6/25 77/25 68/25 179/25 198/25 247/25,1 6/25 47/5 14879999999747/999999999983 35799999999964/999999999999 11472777531820/296914532397 20715376238585/738779466426
6,15,2,1 1 6 8 11 11,0 2,5 4,15,0.0666666666667 0.0666666666667 -0.0666666666667 0.733333333333 0.2 0.2,0.00444444444444 0.00444444444444 0.00444444444444 0.537777777778 0.04 0.04,1 0.631111111111 2.17333333333 3.75111111111 6.16444444444 11.6177777778 6.66222222222,1 0.631111111111 7.72888888889 20.2844444444 34.0933333333 43.0844444444 21.1777777778,1 142/225 163/75 3751111110751/999999999904 6164444443378/999999999827 6270592002631/539741086684 5088870677326/763839828151,1 142/225 7728888887660/999999999841 4564/225 16210169267080/475464487693 10563756965841/245187261947 21177777776973/999999999962
6,15,2,1 1 6 9 11 11,0 2,3 6,15,0.2 0.2 -0.0666666666667 0.733333333333 0.2 0.2,0.04 0.04 0.00444444444444 0.537777777778 0.04 0.04,1 0.702222222222 2.22666666667 4 5.95111111111 11.2977777778 6.82222222222,1 0.702222222222 8.15555555556 20.2133333333 34.3066666667 43.0844444444 20.5377777778,1 158/225 167/75 4 1339/225 7942162180259/702984457340 307/45,1 158/225 367/45 18090771157778/894991976803 26268955933434/765709947535 34542837194991/801747304402 14440142851391/703101523818
6,15,2,1 1 6 9 11 11,0 7,3 6,15,0.2 0.2 -0.0666666666667 0.733333333333 0.2 0.2,0.04 0.04 0.00444444444444 0.537777777778 0.04 0.04,1 0.702222222222 2.22666666667 4 5.95111111111 11.2977777778 6.82222222222,1 0.702222222222 8.15555555556 20.2133333333 34.3066666667 43.0844444444 20.5377777778,1 158/225 167/75 4 4026655916215/676622540066 4097991928736/362725485431 307/45,1 158/225 367/45 20213333333111/999999999989 33024857048918/962636719265 34860040741527/809109672668 11569454012716/563325503757
6,15,2,1 1 6 9 11 13,0 7,5 4,15,0.333333333333 0.333333333333 -0.0666666666667 0.0666666666667 0.866666666667 0.2,0.111111111111 0.111111111111 0.00444444444444 0.00444444444444 0.751111111111 0.04,1 1.02222222222 1.89777777778 3.98222222222 7.26666666667 10.9955555556 5.83555555556,1 1.02222222222 7.8 22.1688888889 37.5422222222 40.8088888889 17.6577777778,1 46/45 427/225 896/225 109/15 10995555554445/999999999899 5835555555398/999999999973,1 46/45 39/5 18776291324063/846965827569 15292613784589/407344394641 40595809835051/994778611728 3973/225
6,15,2,1 1 6 11 11 13,0 7,5 4,15,0.2 0.2 -0.0666666666667 0.0666666666667 0.0666666666667 0.733333333333,0.04 0.04 0.00444444444444 0.00444444444444 0.00444444444444 0.537777777778,1 0.631111111111 2.17333333333 3.75111111111 6.16444444444 11.6177777778 6.66222222222,1 0.631111111111 7.72888888889 20.2844444444 34.0933333333 43.0844444444 21.1777777778,1 142/225 163/75 844/225 1387/225 11617777776221/999999999866 6662222222049/999999999974,1 142/225 1739/225 15425297064331/760449570437 16210169267080/475464487693 1598628130185/37104531596 10331047671928/487824916303
6,15,2,1 1 7 10 11 11,0 9,5 3,5,-0.2 -0.2 -0.6 0.2 -0.2 -0.2,0.04 0.04 0.36 0.04 0.04 0.04,1 0.56 1.4 4 7.32 11.44 6.28,1 0.56 6.36 19.36 36.76 44.08 19.88,1 14/25 7/5 4 183/25 11439999999897/999999999991 157/25,1 14/25 159/25 10812213390931/558482096639 28902290904749/786242951707 17919435259047/406520763590 13748704022037/691584709358
6,15,2,1 1 7 10 11 13,0 9,4 4,5,-0.2 -0.2 0.2 0.2 0.6 -0.2,0.04 0.04 0.04 0.04 0.36 0.04,1 0.56 1.32 3.84 7.64 11.6 6.04,1 0.56 6.04 19.68 37.08 43.76 19.88,1 14/25 33/25 96/25 191/25 58/5 151/25,1 14/25 151/25 11034716218583/560707124928 29674916715977/800294409816 42822627935977/978579248994 11036928080897/555177468858
6,15,2,1 1 7 11 11 13,0 9,4 4,5,-0.2 -0.2 0.2 0.2 0.2 0.2,0.04 0.04 0.04 0.04 0.04 0.04,1 0.24 1.72 4 6.04 11.76 7.24,1 0.24 6.68 17.44 33.56 46.32 22.76,1 6/25 43/25 4 151/25 294/25 181/25,1 6/25 167/25 17439999999843/999999999991 19811871263409/590341813570 3573991480643/77158710722 6317919595604/277588734429
6,15,2,1 1 8 8 10 12,0 13,4 4,15,0.0666666666667 0.0666666666667 -0.2 -0.2 0.466666666667 -0.466666666667,0.00444444444444 0.00444444444444 0.04 0.04 0.217777777778 0.217777777778,1 0.524444444444 1.78222222222 3.71555555556 6.76888888889 11.76 6.44888888889,1 0.524444444444 6.80444444444 19.7155555556 35.0177777778 43.76 21.1777777778,1 118/225 401/225 3715555554753/999999999784 1523/225 294/25 6448888887928/999999999851,1 118/225 6804444443451/999999999854 9886167828359/501439982277 19377381751183/553358407668 8413487008771/192264328354 10331047671928/487824916303
6,15,2,1 1 8 8 12 12,0 2,3 5,15,-0.0666666666667 -0.0666666666667 -0.0666666666667 -0.0666666666667 0.466666666667 0.466666666667,0.00444444444444 0.00444444444444 0.00444444444444 0.00444444444444 0.217777777778 0.217777777778,1 0.453333333333 1.99555555556 4 5.91555555556 11.5466666667 7.08888888889,1 0.453333333333 7.44444444444 18.72 33.7377777778 44.8266666667 21.8177777778,1 34/75 449/225 4 1331/225 8760371242975/758692659611 319/45,1 34/75 67/9 468/25 29879789003864/885647810021 12345973537683/275415828473 9071135142425/415768060103
